videoRaw,conditionVideo,lineupRaw,conditionLineup,conditionSameDiff,condition,lineup 1,lineup 2,lineup 3,lineup 4,lineup 5,lineup 6,lineup 7,lineup 8,lineup 9,decisionRaw,targetPresentRaw,conditionTargetPresent,participantTargetPresent,participantSelection,accuracy,confidence,age,sex,ethnicity,techRaw,techPhotos,ANAGRAM1_1,ANAGRAM1_3,ANAGRAM1_4,ANAGRAM1_5,ANAGRAM1_6,ANAGRAM1_7,ANAGRAM1_8,ANAGRAM1_9,ANAGRAM1_10,ANAGRAM1_11,ANAGRAM1_12,ANAGRAM1_13,ANAGRAM1_14,ANAGRAM1_15,ANAGRAM1_17,ANAGRAM1_18,ANAGRAM1_19,ANAGRAM1_20,ANAGRAM1_21,ANAGRAM1_16,technical,keep
RIGHTVIDEO,2,Front and Right TA,3,3,6,5,3,4,1,9,6,7,8,2,2,Target Absent,0,1,2,0,50,52,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,shipÊ»,fire,,leak,burning,memory,forest,plane,red,rhythm,star,complex,doctor,easy,,,,,,,1
FRONTALVIDEO,1,Front TA,1,1,1,9,1,7,2,4,3,5,6,8,I do not believe the criminal was present,Target Absent,0,0,3,1,100,41,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,,memory,,,red,,star,,,easy,,,horse,hello,happy,,1
RIGHTVIDEO,2,Front TA,1,2,5,1,9,2,5,3,7,6,4,8,3,Target Absent,0,1,2,0,80,45,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,leak,,memory,,,red,,star,,,easy,parrot,,horse,hello,happy,,1
RIGHTVIDEO,2,Front TA,1,2,5,3,7,5,8,1,4,2,9,6,1,Target Absent,0,1,2,0,80,58,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,lake,burning,,forest,,red,,rats,,doctor,easy,,,horse,hello,happy,,1
FRONTALVIDEO,1,Right TA,2,2,2,5,1,9,7,4,8,2,6,3,3,Target Absent,0,1,2,0,60,32,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",none,none,Cat,Ship,Fire,Orange,Leak,,,Forest,,Ews,,Rats,,,,,,Horse,Hello,Happy,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,5,3,7,2,4,8,6,perp,1,2,Target Present,1,1,2,0,40,32,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,None,CAT,SHIP,FIRE,ORANGE,LAKE,BURNING,MEMORY,FOREST,PLANE,RED,,RATS,COMPLEX,DOCTOR,EASY,,,,,,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,3,5,6,8,2,4,7,1,9,I do not believe the criminal was present,Target Absent,0,0,3,1,100,31,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,kale,,,,,red,,rats,,,easy,,,horse,hello,happy,,1
RIGHTVIDEO,2,Right TA,2,1,4,8,9,1,7,3,2,6,4,5,3,Target Absent,0,1,2,0,90,27,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",nice video,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0
FRONTALVIDEO,1,Right TP,2,2,2,5,4,7,perp,2,6,8,3,1,4,Target Present,1,1,1,1,60,33,Male,Black or African American,no,NO,CAT,SHIP,FIRE,REAGAN,KALE,,,,,,,,,,,,,,,,,1
FRONTALVIDEO,1,Front TP,1,1,1,5,2,8,1,perp,3,6,7,4,5,Target Present,1,1,1,1,100,44,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,Nope,CAT,SHIP,FIRE,ORANGE,LEAK,,,SOFTER,,RED,,STAR,,DOC,,PARROT,GENDER,,HELLO,HAPPY,,1
RIGHTVIDEO,2,Front TP,1,2,5,4,7,perp,1,8,6,5,2,3,I do not believe the criminal was present,Target Present,1,0,3,0,30,59,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,burning,,forest,,red,,star,,,easy,,,horse,hello,happy,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,9,2,3,1,5,4,6,7,8,3,Target Absent,0,1,2,0,50,31,Male,"East Asian (e.g., Chinese, Japanese, Korean)",No,No,cat,hips,fire,orange,lake,,memory,,Naple,red,,,,,easy,,,,hello,happy,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,3,2,4,8,perp,6,1,5,7,5,Target Present,1,1,1,1,70,52,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,leak,burning,,,plane,red,,star,,,easy,,,heros,hello,happy,,1
FRONTALVIDEO,1,Right TA,2,2,2,8,1,7,9,2,6,5,3,4,I do not believe the criminal was present,Target Absent,0,0,3,1,80,27,Male,Black or African American,I did not experience technical problems however a Tom and Jerry video played right after the crime I'm not sure if that was supposed to happen.,None,cat,ship,fire,orange,kale,burning,memory,forest,alpen,red,rhythm,arts,,doctor,,parrot,,heros,hello,happy,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,2,1,5,6,perp,8,3,4,7,5,Target Present,1,1,1,1,100,22,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,BAT,SHIP,FIRE,,LAKE,,,FOREST,PLANE,RED,,STAR,,DOCTOR,,PARROT,,HORSE,HELLO,HAPPY,,1
RIGHTVIDEO,2,Right TA,2,1,4,9,1,6,3,2,4,7,5,8,4,Target Absent,0,1,2,0,50,60,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,leak,,,,panel,red,,star,,,,,ganger,heros,hello,happy,,1
FRONTALVIDEO,1,Right TP,2,2,2,3,6,perp,1,2,5,7,4,8,I do not believe the criminal was present,Target Present,1,0,3,0,70,60,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,leak,burning,memory,forest,plane,red,,star,,doctor,ayes,,gander,heros,hello,happy,,1
RIGHTVIDEO,2,Right TP,2,1,4,6,4,perp,5,3,1,8,7,2,3,Target Present,1,1,1,1,100,30,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",None at all,"No, everything loaded great and worked.",CAT,SHIP,FIRE,ORANGE,LAKE,BURNING,MEMORY,FOREST,,RED,,STAR,,DOCTOR,,,,SHORE,,HAPPY,,1
FRONTALVIDEO,1,Front TA,1,1,1,1,3,2,5,9,7,8,4,6,I do not believe the criminal was present,Target Absent,0,0,3,1,90,53,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,none,cat,ship,rife,,kale,burning,,forest,plane,red,r,star,,doctor,easy,,,horse,hello,happy,,1
RIGHTVIDEO,2,Right TP,2,1,4,perp,5,7,3,6,4,1,8,2,1,Target Present,1,1,1,1,90,26,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,oregon,leak,burning,,,,red,,star,complex,,easy,parrot,danger,heros,hello,happy,,1
RIGHTVIDEO,2,Right TA,2,1,4,6,9,2,8,5,4,1,7,3,5,Target Absent,0,1,2,0,20,38,Male,"East Asian (e.g., Chinese, Japanese, Korean)",No,None,cat,ship,fire,orange,lake,,,forest,nepal,red,rhythm,star,,,easy,,,horse,hello,happy,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,4,3,5,1,perp,7,2,8,6,5,Target Present,1,1,1,1,100,27,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,NO,CAT,SHIP,FIRE,OREGAN,LAKE,BURNING,MEMORY,FOREST,PLANE,RED,RHYTHM,STAR,CO,DOCTOR,,PARROT,GARDEN,HORSE,HELLO,HAPPY,,1
RIGHTVIDEO,2,Right TA,2,1,4,1,8,3,9,4,7,2,5,6,3,Target Absent,0,1,2,0,100,31,Female,"East Asian (e.g., Chinese, Japanese, Korean)",No,NO,CAT,SHIP,FIRE,,LEAK,,,,,RED,,STAR,,,EASY,,,,HELLO,HAPPY,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,1,7,2,4,6,9,8,5,3,I do not believe the criminal was present,Target Absent,0,0,3,1,0,33,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",yes,no,cat,ship,fire,orange,lake,burning,memory,forest,plane,red,,star,complex,doctor,easy,parrot,danger,horse,hello,happy,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,4,6,7,1,2,perp,5,8,3,5,Target Present,1,1,2,0,70,23,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,hips,fire,,kale,,,,,red,,rats,,,,,,heros,hello,,,1
FRONTALVIDEO,1,Right TP,2,2,2,2,4,8,3,7,5,perp,6,1,7,Target Present,1,1,1,1,70,54,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,lake,burning,,,,red,myrth,rats,,,easy,,,horse,hello,happy,,1
FRONTALVIDEO,1,Front TA,1,1,1,3,1,7,5,8,9,6,4,2,I do not believe the criminal was present,Target Absent,0,0,3,1,100,25,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,,memory,forest,naple,red,,star,,,seay,,,horse,hello,happy,,1
RIGHTVIDEO,2,Front TP,1,2,5,perp,1,2,3,5,6,8,7,4,1,Target Present,1,1,1,1,90,53,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",YES ,YES,CAT,SHIP,FIRE,ORANGE,LEAK,BURNING,REMMYO,,,,,,,,,,,,,,,1
FRONTALVIDEO,1,Front TP,1,1,1,3,5,1,2,8,4,perp,7,6,7,Target Present,1,1,1,1,60,42,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,No,CAT,SHIP,FIRE,ORANGE,LAKE,BURNING,MEMORY,,PLANE,RED,,RATS,,D,,PARROT,,HORSE,HELLO,HAPPY,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,5,2,perp,8,6,3,1,4,7,3,Target Present,1,1,1,1,100,31,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No difficulties,cat,ship,fire,,kale,rubbing,,forest,naple,red,,star,,,,parrot,,,,,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,8,9,7,3,5,2,1,6,4,I do not believe the criminal was present,Target Absent,0,0,3,1,80,37,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,,,,plane,red,,star,,,,,,,,,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,8,1,7,5,6,3,perp,4,2,7,Target Present,1,1,1,1,50,53,Male,"East Asian (e.g., Chinese, Japanese, Korean)",no,no,cat,ship,fire,orange,kale,burning,memory,forest,plane,red,rhythm,tsar,complex,doctor,ayes,raptor,danger,heros,,,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,1,9,8,2,6,7,4,5,3,4,Target Absent,0,1,2,0,80,44,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,NO,CAT,SHIP,FIRE,ORANGE,LAKE,BURNING,,FOREST,PLANE,RED,MYRTHH,STAR,,,,,,,,,,1
RIGHTVIDEO,2,Front TP,1,2,5,1,7,2,8,3,5,perp,4,6,I do not believe the criminal was present,Target Present,1,0,3,0,50,63,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,hips,fire,,leak,,,,,red,,rats,,,easy,,,,hello,,,1
FRONTALVIDEO,1,Right TA,2,2,2,9,1,7,8,5,2,6,4,3,9,Target Absent,0,1,2,0,60,58,Male,"Hispanic, Latino or Spanish","No, I experienced a smoothly played video.",No technical difficulty was encountered.,cat,ship,fire,orange,lake,burning,memory,forest,panel,red,rhythm,rats,compl,,,,,,,,,1
FRONTALVIDEO,1,Front TA,1,1,1,8,9,3,2,6,1,5,7,4,6,Target Absent,0,1,2,0,70,38,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,cat,ship,fire,,lake,,,,,red,,rats,,,ayes ,parrot ,gander,shore,Hello,Happy,,1
FRONTALVIDEO,1,Right TP,2,2,2,7,1,5,2,8,4,perp,3,6,I do not believe the criminal was present,Target Present,1,0,3,0,80,60,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,CAT,SHIP,FIRE,ORANGE,LEAK,,,,NEPAL,RED,,STAR,,,EASY,,,SHORE,HELLO,HAPPY,,1
RIGHTVIDEO,2,Right TA,2,1,4,4,6,2,8,7,1,5,9,3,I do not believe the criminal was present,Target Absent,0,0,3,1,90,39,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,None.,cat,ship,fire,,leak,,,,,red,,rats,,,,parrot,,heros,hello,happy,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,8,perp,4,7,5,2,3,1,6,2,Target Present,1,1,1,1,100,24,Female,Other,no,no,cat,this,fire,,kale,,,,,red,,star,,,,parrot,,horse,hello,happy,,1
FRONTALVIDEO,1,Right TA,2,2,2,5,8,6,7,9,1,2,3,4,I do not believe the criminal was present,Target Absent,0,0,3,1,0,29,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,none,cat,ship,fire,,lake,,,,plane,red,,rats,,,,parrot,,,hello,happy,,1
FRONTALVIDEO,1,Front TP,1,1,1,1,2,4,6,5,8,3,perp,7,I do not believe the criminal was present,Target Present,1,0,3,0,50,27,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,hips,fire,,lake,,,,,red,,star,,,,,,horse,,happy,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,3,4,9,5,2,8,1,6,7,I do not believe the criminal was present,Target Absent,0,0,3,1,100,26,Female,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lanken)",No,No,CAT,SHIP,FIRE ,ORANGE ,LEAK,,,,,RED ,,STAR ,COMPLEX ,,,PARROT ,,HORSE ,HELLO,HAPPY,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,4,7,2,6,9,1,8,5,3,I do not believe the criminal was present,Target Absent,0,0,3,1,80,31,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No,Cat,Ship,Fire,Organ,Lake,Burning,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Right TP,2,1,4,3,8,7,2,5,6,4,1,perp,9,Target Present,1,1,1,1,70,32,Male,Do not wish to answer,No,No,CAT,SHIP,FIRE,ORANGE,LAKE,,MEMORY,FOREST,PLANE,RED,,STAR,COMPLEX,,,,,,,,,1
RIGHTVIDEO,2,Right TP,2,1,4,2,7,4,5,1,perp,3,6,8,I do not believe the criminal was present,Target Present,1,0,3,0,70,22,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No.,NA,cat,ship,fire,,kale,,memory,forest,panel,red,,star,,,,raptor,,horse,hello,happy,,1
RIGHTVIDEO,2,Front TA,1,2,5,6,1,5,7,3,4,2,9,8,7,Target Absent,0,1,2,0,60,36,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,Ship,fire,orange,leak,,,,plane,Red,,star,,doctor,,,,heros,hello,happy,,1
FRONTALVIDEO,1,Right TA,2,2,2,5,3,2,4,1,7,6,8,9,2,Target Absent,0,1,2,0,70,35,Female,Other,No,"N/A, I had no problems",CAT,SHIP,FIRE,ORANGE,KALE,,MEMORY,FOREST,PLANE,RED,,STAR,,,,,,HORSE,HELLO,HAPPY,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,3,1,4,perp,6,7,8,5,2,4,Target Present,1,1,1,1,70,31,Female,Black or African American,no,no,cat,ship,fire,orange,kale,,memory,forest,,red,,star,,doctor,easy,parrot,,horse,hello,happy,,1
FRONTALVIDEO,1,Front TA,1,1,1,4,6,1,9,3,7,5,2,8,I do not believe the criminal was present,Target Absent,0,0,3,1,80,28,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,lake,burning,,,panel,red,,rats,,,,,danger,shore,hello,happy,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,perp,7,4,3,2,5,8,1,6,1,Target Present,1,1,1,1,70,26,Male,Black or African American,none,no,cat,ship,fire,naroeg,kale,ingbrun,emmoyr,,,red,,,,,,,,,,,,1
RIGHTVIDEO,2,Front TP,1,2,5,2,5,4,1,8,6,perp,7,3,1,Target Present,1,1,1,1,50,I do not wish to answer,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,lake,,,,panel,red,,star,,doctor,ayes,,,horse,hello,,,1
FRONTALVIDEO,1,Right TP,2,2,2,8,7,3,4,perp,2,5,6,1,I do not believe the criminal was present,Target Present,1,0,3,0,90,49,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No.,No.,cat,ship,fire,orange,kale,burning,memory,forest,,red,rhythm,star,complex,doctor,easy,,,,,,,1
FRONTALVIDEO,1,Front TP,1,1,1,4,5,perp,6,2,1,8,3,7,I do not believe the criminal was present,Target Present,1,0,3,0,80,51,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no difficulties,cat,ship,fire,orange,kale,burning,,forest,nepal,red,,star,complex,doctor,easy,,garden,horse,hello,happy,,1
FRONTALVIDEO,1,Right TA,2,2,2,6,8,7,5,2,1,3,9,4,I do not believe the criminal was present,Target Absent,0,0,3,1,100,34,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,NO,CAT,SHIP,FIRE,ORANGE,LEAK,BURNING,,,,RED,,STAR,,,EASY,PARROT,,SHORE,HELLO,HAPPY,,1
RIGHTVIDEO,2,Right TA,2,1,4,6,7,1,5,4,8,2,9,3,I do not believe the criminal was present,Target Absent,0,0,3,1,100,35,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,kale,,,,,red,,star,,doctor,,,,horse,hello,happy,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,9,5,3,1,4,7,8,6,2,3,Target Absent,0,1,2,0,70,61,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,lake,burning,memory,fortes,,,,,,,,,,,,,,1
FRONTALVIDEO,1,Front TA,1,1,1,9,4,7,1,8,3,5,2,6,8,Target Absent,0,1,2,0,40,39,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no.,no difficulties,cat,ship,fire,orange,kale,,memory,forest,,red,,rats,,doctor,,,garden,horse,,happy,,1
RIGHTVIDEO,2,Right TP,2,1,4,8,2,perp,1,3,7,4,6,5,5,Target Present,1,1,2,0,60,49,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,lake,burning,memory,forest,plane,red,,,,,,,,,,,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,8,1,9,3,7,4,5,6,2,6,Target Absent,0,1,2,0,50,41,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,Cat,ship,Fire,,leak,,,,napl,red,,star,,,,,,,,,,1
RIGHTVIDEO,2,Right TA,2,1,4,3,9,5,4,1,7,8,6,2,1,Target Absent,0,1,2,0,50,52,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,leak,,,forest,plane,red,,star,,,,,,shore,,happy,,1
RIGHTVIDEO,2,Front TA,1,2,5,5,6,4,3,7,1,2,9,8,3,Target Absent,0,1,2,0,30,56,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,,,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,2,6,3,8,7,4,5,9,1,1,Target Absent,0,1,2,0,80,25,Male,Black or African American,No problems.,No difficulties.,CAT,SHIP,FIRE,,KALE,BURNING,MEMORY,FOSTER,PANEL,RED,RHYTHM,ARTS,,,,,,,,,,1
RIGHTVIDEO,2,Front TP,1,2,5,2,1,6,4,5,perp,8,3,7,1,Target Present,1,1,2,0,70,36,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,oregon,lake,burning,memory,forest,plane,red,rhythm,star,complex,doctor,easy,parrot,garden,n,,,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,5,6,1,2,4,8,perp,7,3,7,Target Present,1,1,1,1,90,57,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No problems at all.,no,cat,ship,fire,orange,kale,,,forest,,red,,arts,,,ayes,,,horse,hello,happy,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,6,3,2,4,8,1,perp,5,7,7,Target Present,1,1,1,1,90,57,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,hips,fire,orange,elka,burning,emmory,forest,nepal,red,myrthh,star,complex,,,,,,,,,1
FRONTALVIDEO,1,Right TP,2,2,2,3,perp,2,4,5,8,1,7,6,2,Target Present,1,1,1,1,90,56,Female,"Hispanic, Latino or Spanish",no,no difficulties,cat,ship,fire,,lake,burning,memory,,plane,red,,rats,,,ayes,,,,,,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,2,1,3,6,8,4,5,7,9,I do not believe the criminal was present,Target Absent,0,0,3,1,70,23,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,no,cat,ship,rife,,leak,,memory,,,red,,rats,,,,,,,hello,happy,,1
FRONTALVIDEO,1,Front and Right TP,3,3,3,2,perp,1,4,5,7,3,6,8,2,Target Present,1,1,1,1,90,41,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,frie,,keal,,,,,red,,star,,,saye,parrot,,,hello,happy,,1
RIGHTVIDEO,2,Front TA,1,2,5,6,1,2,4,3,8,9,5,7,3,Target Absent,0,1,2,0,70,54,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",A few seconds after it started a tom and jerry video played the rest of the time.,no,cat,ship,fire,orange,kale,burning,,forest,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Front and Right TA,3,3,6,5,4,9,2,3,8,6,1,7,I do not believe the criminal was present,Target Absent,0,0,3,1,60,37,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,frie,,keal,,,,panel,red,,star,,,,parrot,rendar,,hello,happy,,1
RIGHTVIDEO,2,Right TP,2,1,4,2,5,4,1,perp,3,6,7,8,6,Target Present,1,1,2,0,60,27,Male,"East Asian (e.g., Chinese, Japanese, Korean)",no,I did not,CAT,SHIP,FRIE,,KALE,,,FOREST,,red,,STAR,,DOCTOR,YEAS,,,HEROS,,,,1
FRONTALVIDEO,1,Right TP,2,2,2,perp,3,4,5,8,2,7,6,1,1,Target Present,1,1,1,1,90,55,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,lake,burning,memory,forest,plane,red,rhythm,star,complex,doctor,,parrot,danger,horse,hello,happy,,1
RIGHTVIDEO,2,Front TP,1,2,5,perp,7,2,6,1,3,8,5,4,I do not believe the criminal was present,Target Present,1,0,3,0,40,20,Female,Black or African American,no,NO,CAT,HIPS,FIRE,ORANGE,LEAK,BURNING,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,perp,4,1,2,6,8,3,7,5,1,Target Present,1,1,1,1,70,47,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,No problems.,CAT,SHIP,FIRE,ORANGE,LAKE,BURNING,MEMORY,FOREST,PANEL,RED,,STAR,,DOCTOR,EASY,PARROT,DANGER,HORSE,HELLO,HAPPY,,1
FRONTALVIDEO,1,Front TP,1,1,1,5,6,7,8,2,1,4,perp,3,8,Target Present,1,1,1,1,90,54,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,,kale,,memory,,,red,rhythm,star,,,,,,shore,hello,happy,,1
FRONTALVIDEO,1,Front TA,1,1,1,2,7,1,8,3,4,6,9,5,I do not believe the criminal was present,Target Absent,0,0,3,1,90,38,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,None,cat,ship,fire,,kale,burning,,,plane,red,,star,,,easy,parrot,gander,shore,hello,happy,,1
RIGHTVIDEO,2,Front TA,1,2,5,4,7,8,9,3,1,2,6,5,I do not believe the criminal was present,Target Absent,0,0,3,1,90,46,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",slow motion during second half of crime video,na,CAT,SHIP,FIRE,ORANGE,KALE,,,,PLANE,RED,,STAR,,,EASY,,,,,,,1
FRONTALVIDEO,1,Right TA,2,2,2,8,3,9,6,5,4,1,7,2,I do not believe the criminal was present,Target Absent,0,0,3,1,100,47,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,,,forest,panel,red,rhythm,star,,,easy,,,,hello,happy,,1
FRONTALVIDEO,1,Right TP,2,2,2,5,2,3,7,1,8,perp,6,4,3,Target Present,1,1,1,1,20,34,Female,"East Asian (e.g., Chinese, Japanese, Korean)",No,image 8 didn't load for me,cat,ship,fire,orange,kale,burning,memory,forest,plane,red,rhythm,rats,complex,doctor,easy,parrot,gander,shore,hello,happy,YES,0
FRONTALVIDEO,1,Front and Right TP,3,3,3,6,3,8,7,4,2,perp,5,1,7,Target Present,1,1,1,1,100,27,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",Everything was perfect.,Everything was perfect.,cat,hips,fire,orange,kale,burning,memory,store,panel,red,rhythm,tar,,,,,,,,,,1
RIGHTVIDEO,2,Right TA,2,1,4,9,5,6,1,2,4,3,7,8,I do not believe the criminal was present,Target Absent,0,0,3,1,80,25,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,NA,Cat,ship,rife,orange,kale,,,,nepal,red,,rats,,doctor,,parrot,ranger,shore,hello,happy,,1
RIGHTVIDEO,2,Right TA,2,1,4,2,6,1,3,7,9,8,5,4,I do not believe the criminal was present,Target Absent,0,0,3,1,60,27,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,none at all,cat,ship,rife,orange,lake,rubing,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Front and Right TP,3,3,6,8,6,perp,7,3,5,2,4,1,3,Target Present,1,1,1,1,90,40,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,reif,,leak,,,,,,,,,,,,,,,,,1
RIGHTVIDEO,2,Front TA,1,2,5,2,8,6,9,4,7,1,5,3,9,Target Absent,0,1,2,0,60,56,Male,"East Asian (e.g., Chinese, Japanese, Korean)",NO,NO,CAT,SHIP,FIRE,RANGOR,KALE,,,FOREST,NAPEL,RED,,TARS,,DOCTOR,EYES,PARROT,DANGER,HORSE,HELLO,HAPPY,,1
FRONTALVIDEO,1,Front TP,1,1,1,1,4,7,8,perp,2,6,3,5,5,Target Present,1,1,1,1,70,48,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",No,no,cat,ship,fire,,,,memory,,nepal,red,,star,,,easy,parrot,danger,horse,hello,happy,,1
FRONTALVIDEO,1,Front and Right TA,3,3,3,1,9,2,4,6,5,7,3,8,I do not believe the criminal was present,Target Absent,0,0,3,1,100,27,Female,"Hispanic, Latino or Spanish",no,no,cat,ship,fire,orange,lake,burning,rommey,forest,naple,red,,rats,,doctor,,,,,,,,1
RIGHTVIDEO,2,Right TP,2,1,4,8,2,perp,1,4,6,7,3,5,3,Target Present,1,1,1,1,90,34,Male,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,orange,kale,,,,plane,red,,star,,,,,,,,,,1
FRONTALVIDEO,1,Front TA,1,1,1,8,1,5,6,9,4,7,2,3,5,Target Absent,0,1,2,0,100,28,Female,"White or Caucasian (e.g., White-British, White-American, White-Irish)",no,no,cat,ship,fire,ranoge,kela,bruning,,,,red,,star,complex,docter,ea,,,,,,,1
